APELLIDO APELLIDO, NOMBRE
5/27/2016 12:18:34 PM
Configurar #1

  TIEMPO    FUERZA ROTACIONAL   POSICION    POS (ANAT)    VELOCIDAD
  mSeg       N-M    Grados      Grados        º/SEG.
     0      87.6      182.7          100        211.6
    10      90.0      180.5           98        211.6
    20      92.5      178.4           96        211.6
    30      96.4      176.3           94        211.9
    40      98.7      174.2           92        211.9
    50      98.2      172.1           90        211.3
    60      97.6      170.0           88        211.3
    70      97.0      167.8           85        211.1
    80      96.3      165.7           83        211.1
    90      97.0      163.6           81        211.1
   100      99.3      161.5           79        211.1
   110     101.6      159.4           77        211.1
   120     104.5      157.3           75        211.3
   130     106.2      155.2           73        211.3
   140     108.2      153.1           71        211.3
   150     110.2      150.9           68        211.3
   160     111.1      148.8           66        211.3
   170     110.9      146.7           64        211.1
   180     110.8      144.6           62        211.1
   190     111.7      142.5           60        211.1
   200     113.6      140.4           58        211.3
   210     114.0      138.3           56        211.1
   220     112.8      136.2           54        211.1
   230     111.1      134.1           52        210.8
   240     110.4      131.9           49        210.8
   250     108.6      129.8           47        210.5
   260     106.6      127.7           45        210.3
   270     103.2      125.6           43        210.3
   280     107.3      123.7           41        174.9
   290     123.5      122.0           40        165.0
   300     128.8      120.9           38        113.1
   310     119.3      120.0           38         82.2
   320     104.0      119.3           37         59.3
   330      98.0      118.9           36         43.3
   340      94.8      118.5           36         31.9
   350      84.1      118.2           36         25.2
   360      71.1      118.1           36         15.7
   370      55.6      118.0           36         10.6
   380      41.4      117.9           35          6.9
   390      30.5      117.8           35          4.7
   400      22.4      117.8           35          2.3
   410      18.7      117.8           35          1.0
   420      18.7      117.8           35          1.0
   430     -24.4      117.8           35          0.0
   440     -38.1      117.9           35        -13.5
   450     -52.2      118.3           36        -49.7
   460     -19.9      119.0           37        -89.9
   470      -9.4      120.0           38       -117.4
   480     -20.6      121.2           39       -123.5
   490     -25.8      122.5           40       -129.6
   500     -23.2      124.2           42       -151.7
   510     -33.4      126.1           44       -192.2
   520     -49.5      128.2           46       -210.5
   530     -61.3      130.3           48       -211.6
   540     -67.9      132.4           50       -211.9
   550     -69.4      134.5           52       -211.9
   560     -69.2      136.6           54       -211.6
   570     -67.4      138.8           56       -210.8
   580     -66.6      140.9           58       -210.8
   590     -67.9      143.0           61       -211.1
   600     -68.6      145.1           63       -210.8
   610     -69.2      147.2           65       -210.8
   620     -71.1      149.3           67       -211.1
   630     -74.0      151.4           69       -211.3
   640     -76.1      153.5           71       -211.3
   650     -74.4      155.6           73       -210.8
   660     -72.7      157.7           75       -210.5
   670     -72.4      159.9           77       -210.5
   680     -73.1      162.0           80       -210.8
   690     -72.3      164.1           82       -210.8
   700     -70.2      166.2           84       -210.3
   710     -67.8      168.3           86       -210.3
   720     -66.6      170.4           88       -210.0
   730     -64.0      172.5           90       -210.5
   740     -60.3      174.6           92       -210.0
   750     -56.7      176.7           94       -209.7
   760     -51.7      178.8           96       -209.7
   770     -45.6      180.9           98       -209.7
   780     -40.7      183.0          101       -209.5
   790     -34.6      185.1          103       -209.5
   800     -29.2      187.2          105       -208.7
   810     -22.5      189.1          107       -187.6
   820     -23.9      191.1          109       -167.9
   830     -34.2      192.6          110       -142.1
   840     -27.8      193.8          111        -94.5
   850      -7.5      194.6          112        -76.6
   860       0.0      195.2          113        -49.5
   870       0.0      195.7          113        -40.1
   880       0.0      196.0          114        -26.6
   890      47.9      196.2          114        -17.8
   900      73.9      196.1          114         13.3
   910      94.6      195.8          113         50.3
   920      79.7      195.0          113         89.4
   930      59.7      193.8          111        113.6
   940      75.4      192.3          110        172.2
   950      88.7      190.4          108        211.6
   960      95.5      188.3          106        234.2
   970      94.5      186.2          104        212.4
   980      90.3      184.1          102        211.6
   990      90.6      182.0          100        211.1
  1000      91.4      179.9           97        211.1
  1010      92.8      177.7           95        211.6
  1020      94.6      175.6           93        211.6
  1030      94.5      173.5           91        211.3
  1040      95.6      171.4           89        211.3
  1050      97.2      169.3           87        211.3
  1060      99.8      167.2           85        211.3
  1070     102.2      165.1           83        211.3
  1080     104.8      162.9           80        211.3
  1090     106.4      160.8           78        211.3
  1100     108.1      158.7           76        211.3
  1110     109.7      156.6           74        211.1
  1120     110.5      154.5           72        211.1
  1130     111.2      152.4           70        211.1
  1140     111.2      150.3           68        211.3
  1150     113.0      148.2           66        210.8
  1160     114.2      146.0           64        210.8
  1170     115.3      143.9           61        210.8
  1180     117.4      141.8           59        211.3
  1190     119.3      139.7           57        211.3
  1200     120.1      137.6           55        211.3
  1210     119.9      135.5           53        211.1
  1220     117.4      133.4           51        210.8
  1230     112.8      131.3           49        210.8
  1240     106.7      129.2           47        210.0
  1250      98.7      127.1           45        209.2
  1260      90.6      125.1           43        188.4
  1270      95.5      123.2           41        161.5
  1280     101.6      121.7           39        135.7
  1290      95.6      120.6           38         89.7
  1300      76.7      119.8           37         72.4
  1310      53.6      119.3           37         52.1
  1320      34.7      118.9           36         36.7
  1330      22.1      118.6           36         28.7
  1340      18.6      118.4           36         18.9
  1350     -25.0      118.2           36         12.5
  1360     -85.0      118.2           36         -1.3
  1370    -121.0      118.5           36        -45.5
  1380     -21.0      119.5           37       -130.1
  1390       0.0      121.0           39       -166.9
  1400       0.0      122.5           40       -166.1
  1410     -19.8      124.1           42       -173.8
  1420     -43.1      125.8           43       -191.6
  1430     -76.3      127.8           45       -206.3
  1440     -77.2      129.9           47       -213.2
  1450     -59.0      132.0           50       -211.1
  1460     -54.9      134.1           52       -210.3
  1470     -71.7      136.2           54       -211.1
  1480     -80.7      138.4           56       -212.1
  1490     -70.8      140.5           58       -211.1
  1500     -59.4      142.6           60       -210.3
  1510     -65.8      144.7           62       -210.3
  1520     -77.2      146.8           64       -211.1
  1530     -78.1      148.9           66       -211.1
  1540     -75.0      151.0           69       -210.8
  1550     -73.1      153.1           71       -210.8
  1560     -74.6      155.2           73       -210.5
  1570     -75.5      157.3           75       -210.8
  1580     -75.5      159.4           77       -210.8
  1590     -74.2      161.6           79       -210.5
  1600     -71.3      163.7           81       -210.5
  1610     -70.4      165.8           83       -210.0
  1620     -68.7      167.9           85       -210.0
  1630     -66.7      170.0           88       -210.3
  1640     -63.3      172.1           90       -210.3
  1650     -60.5      174.2           92       -210.0
  1660     -56.4      176.3           94       -210.0
  1670     -52.1      178.4           96       -209.7
  1680     -47.2      180.5           98       -209.7
  1690     -41.9      182.6          100       -209.7
  1700     -37.4      184.7          102       -209.5
  1710     -32.3      186.7          104       -209.2
  1720     -26.3      188.8          106       -208.7
  1730     -25.2      190.8          108       -215.6
  1740     -39.2      192.4          110       -151.4
  1750     -41.8      193.6          111       -113.6
  1760     -22.4      194.5          112        -74.5
  1770      -3.5      195.2          113        -60.1
  1780       0.0      195.6          113        -38.8
  1790       0.0      196.0          114        -34.6
  1800       0.0      196.2          114        -23.4
  1810      54.8      196.4          114         -4.5
  1820      90.4      196.2          114         27.6
  1830      83.7      195.6          113         70.2
  1840      74.0      194.7          112        108.6
  1850      64.1      193.4          111        128.3
  1860      79.7      191.7          109        159.2
  1870      92.2      189.7          107        187.4
  1880     101.7      187.5          105        212.7
  1890      95.7      185.3          103        212.1
  1900      89.5      183.2          101        211.1
  1910      88.5      181.1           99        210.8
  1920      91.0      179.0           97        211.3
  1930      93.2      176.9           94        211.6
  1940      94.0      174.8           92        211.6
  1950      93.3      172.7           90        211.1
  1960      95.2      170.6           88        211.3
  1970      97.0      168.4           86        211.6
  1980      99.3      166.3           84        211.3
  1990     101.6      164.2           82        211.3
  2000     104.1      162.1           80        211.3
  2010     106.2      160.0           78        211.3
  2020     107.8      157.9           75        211.3
  2030     108.8      155.8           73        211.1
  2040     110.6      153.6           71        211.3
  2050     112.0      151.5           69        211.3
  2060     113.6      149.4           67        211.1
  2070     115.0      147.3           65        211.1
  2080     116.1      145.2           63        211.1
  2090     118.2      143.1           61        211.1
  2100     119.2      141.0           59        211.3
  2110     119.6      138.9           56        211.3
  2120     118.2      136.7           54        210.8
  2130     116.3      134.6           52        210.5
  2140     115.1      132.5           50        210.8
  2150     112.3      130.4           48        210.3
  2160     106.4      128.3           46        210.0
  2170      99.1      126.2           44        209.5
  2180      93.7      124.3           42        185.5
  2190     104.4      122.5           40        177.3
  2200     108.8      121.2           39        121.1
  2210      95.6      120.3           38         88.3
  2220      72.4      119.6           37         63.6
  2230      47.1      119.1           37         40.4
  2240      30.9      118.7           36         31.9
  2250      20.2      118.5           36         22.6
  2260      18.6      118.3           36         18.1
  2270     -25.9      118.2           36         11.9
  2280     -93.6      118.1           36         -4.5
  2290    -119.9      118.5           36        -51.9
  2300     -10.2      119.7           37       -117.1
  2310       0.0      121.2           39       -140.0
  2320       0.0      122.7           40       -139.2
  2330       0.0      124.3           42       -140.2
  2340     -68.2      126.0           44       -165.3
  2350    -101.4      127.9           45       -206.0
  2360     -75.9      130.1           48       -214.0
  2370     -46.8      132.2           50       -210.0
  2380     -52.2      134.3           52       -209.7
  2390     -77.3      136.4           54       -211.6
  2400     -86.0      138.5           56       -212.4
  2410     -69.4      140.6           58       -211.3
  2420     -56.7      142.7           60       -209.7
  2430     -67.8      144.8           62       -210.3
  2440     -82.9      146.9           64       -211.3
  2450     -81.8      149.1           67       -211.6
  2460     -74.2      151.2           69       -211.1
  2470     -72.1      153.3           71       -210.5
  2480     -75.8      155.4           73       -210.5
  2490     -78.1      157.5           75       -210.5
  2500     -76.5      159.6           77       -210.5
  2510     -74.3      161.7           79       -210.3
  2520     -72.8      163.8           81       -210.3
  2530     -70.9      165.9           83       -210.0
  2540     -68.7      168.0           86       -210.0
  2550     -65.6      170.1           88       -210.0
  2560     -63.1      172.2           90       -210.0
  2570     -59.1      174.3           92       -209.7
  2580     -54.1      176.4           94       -209.5
  2590     -49.1      178.5           96       -209.5
  2600     -44.3      180.6           98       -210.0
  2610     -39.7      182.7          100       -209.5
  2620     -34.7      184.8          102       -209.2
  2630     -29.6      186.9          104       -208.9
  2640     -22.9      189.0          107       -208.4
  2650     -22.4      191.0          109       -212.4
  2660     -34.2      192.5          110       -148.2
  2670     -34.8      193.7          111       -111.0
  2680     -14.0      194.5          112        -72.6
  2690       0.0      195.2          113        -58.5
  2700       0.0      195.6          113        -38.0
  2710       0.0      196.0          114        -34.0
  2720      27.1      196.2          114        -21.8
  2730      62.6      196.3          114          5.3
  2740      99.1      196.0          114         30.6
  2750      78.1      195.4          113         75.6
  2760      61.7      194.2          112        128.8
  2770      72.7      192.8          110        162.9
  2780      84.5      191.1          109        200.4
  2790      89.6      189.0          107        233.2
  2800      96.8      186.9          104        212.4
  2810      91.1      184.8          102        211.9
  2820      88.3      182.6          100        211.1
  2830      89.2      180.5           98        211.1
  2840      91.1      178.4           96        211.6
  2850      93.6      176.3           94        211.9
  2860      92.6      174.2           92        211.3
  2870      91.8      172.1           90        211.1
  2880      94.5      170.0           88        211.3
  2890      96.5      167.8           85        211.6
  2900      99.0      165.7           83        211.3
  2910     101.7      163.6           81        211.3
  2920     103.5      161.5           79        211.3
  2930     105.4      159.4           77        211.1
  2940     106.3      157.3           75        211.1
  2950     107.3      155.2           73        210.8
  2960     107.3      153.1           71        211.1
  2970     108.1      150.9           68        211.1
  2980     110.2      148.8           66        211.1
  2990     112.7      146.7           64        211.1
  3000     114.6      144.6           62        211.3
  3010     117.2      142.5           60        211.6
  3020     118.8      140.4           58        211.3
  3030     118.8      138.3           56        211.1
  3040     117.7      136.2           54        210.8
  3050     117.2      134.0           52        210.8
  3060     116.5      131.9           49        210.8
  3070     114.9      129.8           47        210.8
  3080     110.6      127.7           45        210.0
  3090     106.6      125.6           43        210.0
  3100     110.8      123.7           41        174.6
  3110     126.2      122.1           40        150.9
  3120     130.7      120.9           38        100.8
  3130     118.8      120.0           38         81.7
  3140      98.6      119.3           37         59.6
  3150      78.5      118.9           36         42.3
  3160      58.2      118.5           36         29.2
  3170      40.3      118.3           36         18.3
  3180      26.7      118.2           36         13.8
  3190      18.7      118.0           36         10.6
  3200     -21.0      118.0           36          7.7
  3210    -105.1      117.9           35          1.8
  3220    -128.8      118.2           36        -41.5
  3230     -46.9      119.1           37       -109.6
  3240       0.0      120.5           38       -137.1
  3250       0.0      122.1           40       -139.7
  3260       0.0      123.6           41       -137.9
  3270     -38.9      125.2           43       -140.2
  3280    -100.5      127.0           45       -187.1
  3290     -86.6      129.1           47       -215.3
  3300     -45.2      131.2           49       -210.3
  3310     -46.0      133.3           51       -209.2
  3320     -72.5      135.5           53       -211.6
  3330     -83.1      137.6           55       -212.4
  3340     -74.2      139.7           57       -211.6
  3350     -55.1      141.8           59       -209.7
  3360     -61.7      143.9           61       -209.7
  3370     -78.5      146.0           64       -211.3
  3380     -80.7      148.1           66       -211.6
  3390     -72.3      150.2           68       -210.8
  3400     -68.7      152.3           70       -210.3
  3410     -71.3      154.4           72       -210.5
  3420     -74.9      156.5           74       -210.5
