APELLIDO APELLIDO, NOMBRE
5/12/2016 8:43:50 PM
Configurar #6

  TIEMPO    FUERZA ROTACIONAL   POSICIÓN    POS (ANAT)    VELOCIDAD
  mSeg       N-M    Grados      Grados        º/SEG.
     0       0.0      197.2          115          0.0
    10       0.9      197.2          115          0.2
    20       1.6      197.2          115          0.2
    30      15.6      197.2          115          1.0
    40      32.0      197.2          115          2.3
    50      55.3      197.1          115         12.7
    60      58.9      196.8          114         32.4
    70      72.7      196.2          114         68.6
    80      75.0      195.4          113         95.8
    90      64.4      194.2          112        117.6
   100      68.6      192.7          110        145.6
   110      68.6      190.8          108        174.9
   120      81.6      188.6          106        210.5
   130      88.5      186.5          104        211.3
   140      95.2      184.4          102        211.6
   150      99.8      182.3          100        211.9
   160     106.7      180.1           98        211.9
   170     114.3      178.0           96        212.9
   180     121.6      175.9           93        213.2
   190     124.9      173.8           91        212.7
   200     122.6      171.6           89        212.1
   210     117.6      169.5           87        211.3
   220     113.4      167.4           85        210.8
   230     112.3      165.3           83        211.1
   240     114.7      163.2           81        210.8
   250     119.2      161.1           79        211.3
   260     124.8      159.0           77        211.3
   270     129.0      156.8           74        211.6
   280     130.7      154.7           72        211.1
   290     130.7      152.6           70        211.6
   300     129.1      150.5           68        210.8
   310     126.4      148.4           66        210.8
   320     122.4      146.3           64        210.3
   330     118.5      144.2           62        209.7
   340     115.1      142.1           60        210.0
   350     110.8      140.0           58        210.0
   360     105.9      137.9           55        209.5
   370      98.7      135.8           53        208.9
   380      91.4      133.7           51        208.9
   390      85.2      131.6           49        209.2
   400      77.3      129.5           47        208.7
   410      69.2      127.5           45        208.4
   420      61.4      125.4           43        208.1
   430      61.0      123.5           41        172.2
   440      74.4      121.9           39        147.4
   450      77.8      120.7           38         99.0
   460      74.3      119.8           37         81.7
   470      55.6      119.1           37         65.4
   480      44.6      118.7           36         43.6
   490      33.8      118.4           36         31.4
   500      22.9      118.1           36         22.3
   510      17.8      117.9           35         17.5
   520      17.8      117.8           35         13.0
   530     -32.5      117.7           35          8.5
   540     -25.5      117.7           35         -3.1
